fips,slope,sand_pct,silt_pct,clay_pct,organic_matter_pct,pH_soil,awc_soil,cec_soil
19019,3.56,46.042,36.254,17.705,3.666,6.311,0.166,18.058
19021,5.24,26.314,45.852,27.834,5.269,6.735,0.197,26.745
19023,4.39,34.697,44.7,20.603,4.315,6.383,0.182,21.215
19025,4.52,33.609,39.981,26.41,5.063,6.874,0.195,24.133
19027,8.2,29.45,44.886,25.664,3.244,6.589,0.192,21.997
19029,8.02,14.842,53.606,31.552,2.558,6.203,0.19,24.93
19031,8.44,19.319,58.866,21.814,3.062,6.199,0.185,20.491
19033,4.4,35.66,41.119,23.221,4.956,6.702,0.191,23.377
19035,9.71,25.868,47.53,26.602,3.193,6.742,0.196,23.043
19037,4.08,43.609,36.963,19.428,4.35,6.274,0.171,20.631
19039,9.71,22.462,47.965,29.573,2.437,6.148,0.189,23.998
19041,4.77,33.873,39.76,26.367,5.087,6.679,0.192,26.646
19043,9.38,26.891,53.075,19.956,2.752,6.43,0.196,19.462
19045,8.19,23.031,55.285,21.62,2.969,6.279,0.191,20.094
19047,10.54,10.455,63.757,25.788,2.278,6.561,0.21,21.437
19049,8.83,33.182,42.583,24.236,3.074,6.543,0.186,21.206
19051,8.8,20.911,52.422,26.666,1.873,6.032,0.189,21.346
19053,9.02,21.763,50.045,28.144,2.185,6.087,0.188,22.669
19055,8.05,31.189,49.114,19.637,2.896,6.282,0.184,18.388
19057,7.14,21.62,53.494,24.805,2.308,6.24,0.184,21.93
19059,4.86,34.77,41.223,24.007,5.369,6.785,0.192,22.62
19061,10.62,27.323,52.578,19.942,2.189,6.371,0.196,18.099
19063,6.41,40.779,36.193,23.028,6.243,6.889,0.191,26.372
19065,7.94,35.706,44.847,19.364,2.942,6.381,0.184,18.711
19067,3.9,35.057,43.315,21.628,3.678,6.565,0.184,20.967
19069,5.05,30.249,46.502,23.249,4.533,6.657,0.192,22.935
19071,6.99,15.032,57.29,27.678,3.286,6.875,0.201,24.051
19073,7.74,38.426,37.559,24.015,3.91,6.826,0.191,21.33
19075,3.64,25.986,50.265,23.75,4.568,6.316,0.188,23.184
19077,8.93,23.692,49.168,27.14,3.586,6.28,0.192,24.092
19079,5.74,35.897,38.987,25.116,6.342,6.846,0.198,27.382
19081,4.9,36.846,38.214,24.94,7.088,6.837,0.197,27.843
19083,5.83,29.509,46.472,24.019,4.057,6.566,0.186,22.317
19085,7.95,15.86,58.552,25.588,2.279,7.184,0.195,23.023
19087,7.7,19.096,56.239,24.584,2.266,6.123,0.194,20.629
19089,4.42,38.91,40.952,20.153,4.56,6.311,0.189,22.15
19091,5.78,38.451,37.631,23.918,5.171,6.706,0.189,24.039
19093,9.14,12.977,59.319,27.704,2.623,6.487,0.207,22.992
19095,10.14,20.478,55.455,24.067,1.993,6.132,0.184,20.173
19097,11.94,21.958,56.545,21.428,2.129,6.365,0.2,19.501
19099,9.96,23.334,51.214,25.452,2.435,6.257,0.18,22.1
19101,7.93,18.032,55.472,26.496,2.023,6.068,0.188,21.578
19103,7.63,25.211,53.536,21.253,2.926,6.19,0.181,19.553
19105,8.55,28.197,52.17,19.582,2.885,6.36,0.185,18.095
19107,9.22,17.798,55.364,26.838,2.253,6.137,0.179,22.347
