fips,year,v6_evi_curr,v6_evi_anom,v6_ndwi_curr,v6_ndwi_anom,v12_evi_curr,v12_evi_anom,v12_ndwi_curr,v12_ndwi_anom,r1_evi_curr,r1_evi_anom,r1_ndwi_curr,r1_ndwi_anom,r3_evi_curr,r3_evi_anom,r3_ndwi_curr,r3_ndwi_anom
1001,2001,0.3819320048899755,0.010729686226568724,0.3150880646867052,0.016574834026774787,0.3147753716285774,-0.08039099756457663,0.4563515446676713,0.15368652737761462,0.4796930277098614,0.09445158924205377,0.4823419136659558,0.13991623892830796,0.43484198451507755,0.030347428687856615,0.4747538850313886,0.16970205083566392
1001,2002,0.38709685819070916,0.010529696414017964,0.4045493693606434,0.09774872168732557,0.38728213528932365,0.03135566625916858,0.35117311017310554,-0.02806088311057986,0.4666148573757131,0.0341476242868784,0.4473285834390277,0.03494478923722577,0.5010337449062757,0.0813654747351264,0.49359260959197193,0.10368974997841529
1001,2003,0.39461814995925015,0.014541089377886174,0.5016399844185947,0.16225642951616842,0.4544870456397719,0.08823424816625913,0.5338863740992343,0.16413811260119265,0.4876252770986146,0.043775502580820747,0.4874358195810595,0.06340376230018213,0.4829316748166262,0.0361415797337683,0.5581622352220224,0.13369612561566058
1001,2004,0.4182965810920944,0.03458424816625916,0.3985256072457818,0.018577944964313198,0.4293000488997553,0.04089261409942935,0.5182254257765867,0.10719013298632252,0.4811385126324369,0.026344862469437458,0.6088969362317509,0.16901393837582795,0.49156510594947034,0.03573961593317038,0.5456593589318307,0.08776921792155401
1001,2005,0.37289166666666695,-0.017737515892420175,0.32513304861631576,-0.058530202658015285,0.44598572127139396,0.04942331703341507,0.45281313655341016,0.020330837769466925,0.457685880195599,-0.0023767424612879395,0.5139116162819944,0.04022583075090602,0.5749945436022821,0.11202113039934836,0.6429795072207133,0.16753552262612564
1001,2006,0.3719781581092095,-0.015694771801140928,0.31387936420749124,-0.060028853290503725,0.40502665036674834,0.0002113705514809605,0.3521524355629061,-0.08376669607056753,0.4168679747351262,-0.04279852417821267,0.3495967903149363,-0.13079330034130288,0.4204904889975552,-0.06115311260527023,0.41289086388207946,-0.0904757078168626
1001,2007,0.3871063121434394,0.0016754924903946145,0.3805319774798637,0.015199310451940617,0.3184433863080684,-0.0863852555594366,0.270245955506211,-0.15369098105776707,0.3755735004074979,-0.0779789236232391,0.3538683473961199,-0.1078369860685045,0.3809192665036674,-0.09198817615554794,0.4256333772723862,-0.06480809330986093
1001,2020,0.5068378221015774,0.0907399760022028,0.5566436415849235,0.1027063301147898,0.5799431960344623,0.12002160627876773,0.5695632473066506,0.07933189904119642,0.5366251740823793,0.05115024391203438,0.6104668010620387,0.07953324153549224,0.47094936858255665,-0.048482634643376654,0.556012132384,-0.026394606422674438
1003,2003,0.3508347100101454,0.03793487698681075,0.2961163051476651,0.09667274969225614,0.3997961743320934,0.07357320306335263,0.4888600649039108,0.13089670900360245,0.4736805672979373,0.05899521263104518,0.514916361633903,0.12587189577917213,0.5604686485458235,0.029602320764288037,0.6285293881920884,0.12309164136220085
1003,2004,0.35349754819073376,0.031113995920696358,0.4216848767750669,0.19807313389659395,0.4528762977680081,0.1082336384004059,0.4460122710743764,0.05532473792316761,0.5537421943692927,0.12430803654463929,0.5502858724720837,0.12977343267256003,0.5675717175346633,0.02930480956205561,0.5790863499411323,0.04287569277069503
